IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,,NULL,18239,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Park Ridge,670,670,610
NULL,NULL,No,NULL,NULL,Asian,NULL,44132,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Hoffman Est,690,650,610
NULL,NULL,Yes,NULL,Yes,Two or More Races,Yes,15324,Two or More Races,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,630,460,460
NULL,NULL,No,NULL,NULL,,NULL,44134,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Waitlist,DuPage,Aurora,640,520,600
NULL,NULL,No,NULL,NULL,Asian,NULL,44135,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Arlington Hts,630,550,470
NULL,Rescinded,No,NULL,NULL,White,NULL,10225,White,NULL,No,Yes,NULL,2015,Rescinded,NULL,NULL,NULL,Waitlist,Cook,Orland Park,590,560,560
NULL,NULL,No,NULL,NULL,,NULL,33834,Not Reported,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Oak Forest,470,550,NULL
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,6093,Two or More Races,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,St Charles,590,590,580
NULL,NULL,No,NULL,NULL,,NULL,7204,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,510,430,450
NULL,NULL,No,NULL,NULL,Asian,NULL,44136,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,690,570,620
NULL,NULL,No,NULL,NULL,,NULL,18299,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Lisle,580,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,18303,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Aurora,550,480,550
NULL,NULL,No,NULL,NULL,,NULL,33835,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Streamwood,530,550,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,44054,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Williamson,Herrin,510,450,490
NULL,NULL,No,NULL,NULL,White,NULL,44137,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Dekalb,Kirkland,510,560,500
NULL,NULL,No,NULL,NULL,,NULL,3919,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kendall,Plano,450,580,NULL
NULL,NULL,No,NULL,NULL,,NULL,3920,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,460,440,NULL
NULL,NULL,No,NULL,NULL,,NULL,15331,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Chicago,500,390,420
NULL,NULL,No,NULL,NULL,,NULL,3923,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Sangamon,Springfield,590,510,NULL
NULL,NULL,No,NULL,NULL,,NULL,18350,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Lisle,610,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,18350,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Lisle,630,620,530
NULL,NULL,No,NULL,NULL,White,NULL,43674,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Maywood,520,510,510
NULL,NULL,No,NULL,NULL,,NULL,9581,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,Deferred,Cook,Chicago,670,610,600
NULL,NULL,No,NULL,NULL,Asian,NULL,44139,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,480,560,530
NULL,NULL,Yes,3,No,Asian,No,43675,Asian,Yes,Yes,Yes,Yes,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Richton Park,620,610,610
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,43676,Hispanic or Latino,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Carpentersvle,470,430,430
NULL,NULL,No,NULL,NULL,,NULL,18368,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Bond,Greenville,540,580,520
NULL,NULL,No,NULL,NULL,White,NULL,32152,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Yorkville,570,490,460
Yes,Accept,Yes,NULL,Yes,,Yes,3928,White,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,Kendall,Yorkville,620,600,600
NULL,NULL,No,NULL,NULL,White,NULL,30696,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Sugar Grove,580,560,550
NULL,NULL,No,NULL,NULL,,NULL,18380,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Lincolnwood,520,420,NULL
Yes,Accept,Yes,4,No,Asian,No,29777,Asian,Yes,Yes,Yes,Yes,2014,Accept,NULL,NULL,Yes,Waitlist,DuPage,Aurora,620,510,NULL
NULL,NULL,No,NULL,NULL,Hispanic or Latino,NULL,43679,Hispanic or Latino,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Stickney,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,10242,Hispanic or Latino,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Monee,520,420,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,10242,Hispanic or Latino,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Will,Monee,520,430,430
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44140,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Matteson,570,490,500
NULL,NULL,No,NULL,NULL,,NULL,18414,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,670,610,600
NULL,NULL,Yes,NULL,No,White,No,18415,White,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,680,730,640
NULL,NULL,No,NULL,NULL,,NULL,11969,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,560,510,NULL
NULL,NULL,No,NULL,NULL,White,NULL,44141,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,West Chicago,440,360,430
NULL,NULL,No,NULL,NULL,,NULL,14894,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,Waitlist,DuPage,Willowbrook,730,600,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43680,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Lindenhurst,520,350,350
NULL,NULL,No,NULL,NULL,,NULL,33836,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,650,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,18456,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Palatine,610,450,480
NULL,NULL,No,NULL,NULL,White,NULL,44142,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Glen Ellyn,700,520,520
NULL,NULL,No,NULL,NULL,,NULL,18463,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Lemont,520,490,460
NULL,NULL,No,NULL,NULL,,NULL,18465,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43681,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,610,570,570
NULL,NULL,No,NULL,NULL,,NULL,9237,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Palatine,640,610,610
NULL,NULL,No,NULL,NULL,,NULL,18477,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,650,490,470
NULL,NULL,No,NULL,NULL,Asian,NULL,43682,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,700,610,610
NULL,NULL,No,NULL,NULL,,NULL,6361,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,620,470,NULL
NULL,NULL,No,NULL,NULL,,NULL,6361,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Schaumburg,670,460,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43683,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,S Barrington,610,340,340
NULL,NULL,No,NULL,NULL,Asian,NULL,43683,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,S Barrington,680,490,660
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,12217,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Sugar Grove,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,12217,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Sugar Grove,640,400,440
NULL,NULL,No,NULL,NULL,,NULL,18498,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Country Club Hills,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,18528,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Elk Grove Vlg,580,520,500
NULL,NULL,Yes,NULL,No,Two or More Races,No,6099,Two or More Races,No,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Glenview,690,670,580
NULL,NULL,No,NULL,NULL,,NULL,18535,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,580,480,490
NULL,NULL,No,NULL,NULL,,NULL,64,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kendall,Yorkville,560,610,NULL
NULL,NULL,No,NULL,NULL,,NULL,18538,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,McLean,Bloomington,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,White,NULL,44145,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Deferred,Madison,Edwardsville,610,590,620
NULL,NULL,No,NULL,NULL,,NULL,18548,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Hoffman Est,520,500,500
NULL,NULL,No,NULL,NULL,,NULL,18565,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,620,470,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,18566,Asian,No,Yes,Yes,Yes,2011,Accept,NULL,NULL,Yes,Waitlist,Cook,Schaumburg,700,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,3962,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Woodford,Eureka,620,470,500
NULL,NULL,No,NULL,NULL,,NULL,29730,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Park Forest,440,410,360
NULL,NULL,No,NULL,NULL,,NULL,18585,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,610,520,520
NULL,NULL,No,NULL,NULL,Unknown,NULL,44146,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,610,490,490
Yes,Accept,Yes,4,No,White,No,44147,White,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,DuPage,Bartlett,570,460,440
NULL,NULL,No,NULL,NULL,"American Indian or Alaska Native, Black or African American",NULL,33837,Two or More Races,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,410,420,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,30720,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Deferred,Peoria,Dunlap,750,670,680
NULL,NULL,No,NULL,NULL,,NULL,18612,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,St Charles,650,540,NULL
NULL,NULL,No,NULL,NULL,,NULL,7239,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Batavia,510,530,NULL
Yes,Accept,Yes,2,No,White,No,6104,White,Yes,Yes,Yes,Yes,2016,Accept,NULL,NULL,Yes,Waitlist,Kane,Batavia,650,580,450
NULL,NULL,No,NULL,NULL,White,NULL,43686,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Libertyville,630,520,520
NULL,NULL,No,NULL,NULL,,NULL,18621,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Bond,Smithboro,470,530,550
NULL,NULL,No,NULL,NULL,,NULL,18637,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Lake,Ingleside,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,2273,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,620,450,NULL
NULL,NULL,No,NULL,NULL,,NULL,18643,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Streamwood,650,610,560
NULL,NULL,No,NULL,NULL,,NULL,18646,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,S Barrington,520,440,510
NULL,NULL,No,NULL,NULL,,NULL,18646,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,S Barrington,630,550,540
NULL,NULL,Yes,NULL,Yes,Two or More Races,Yes,18648,Two or More Races,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Tinley Park,660,580,600
NULL,NULL,No,NULL,NULL,,NULL,3971,Black or African American,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,410,460,NULL
NULL,NULL,Yes,NULL,No,White,No,30729,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Antioch,630,560,NULL
NULL,NULL,No,NULL,NULL,White,NULL,43688,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Streamwood,560,530,530
NULL,NULL,Yes,NULL,No,White,No,33838,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Villa Park,570,550,NULL
NULL,NULL,No,NULL,NULL,,NULL,18660,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,South Elgin,730,480,450
Yes,Accept,Yes,NULL,No,White,No,39233,White,Yes,Yes,Yes,Yes,2015,Accept,NULL,NULL,Yes,Waitlist,Lake,Lindenhurst,590,560,560
NULL,NULL,No,NULL,NULL,,NULL,18670,Hispanic or Latino,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Grundy,Diamond,490,520,NULL
NULL,NULL,No,NULL,NULL,,NULL,9186,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Wheaton,690,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,18692,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Hoffman Est,580,730,580
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,33839,Two or More Races,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,570,620,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,44148,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,720,700,690
NULL,NULL,No,NULL,NULL,,NULL,14788,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Naperville,670,660,520
NULL,NULL,No,NULL,NULL,,NULL,18710,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Ingleside,540,510,NULL
NULL,NULL,No,NULL,NULL,,NULL,12219,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,700,570,600
NULL,NULL,No,NULL,NULL,,NULL,33840,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,West Chicago,470,610,NULL
NULL,NULL,No,NULL,NULL,,NULL,18719,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,650,530,410
NULL,NULL,No,NULL,NULL,,NULL,3978,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Orland Park,600,550,550
NULL,NULL,No,NULL,NULL,,NULL,18722,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,Waitlist,Lake,Lindenhurst,580,630,610
NULL,NULL,No,NULL,NULL,,NULL,18724,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Carol Stream,700,640,580
NULL,NULL,No,NULL,NULL,,NULL,18725,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Oak Brook,640,370,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Asian",NULL,18732,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,550,580,530
NULL,NULL,No,NULL,NULL,,NULL,43690,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Crete,540,560,NULL
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,18761,Two or More Races,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Downers Grove,780,470,600
NULL,NULL,No,NULL,NULL,,NULL,18764,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Lk Barrington,650,460,NULL
Yes,Accept,Yes,NULL,No,Asian,No,29784,Asian,Yes,Yes,Yes,Yes,2014,Accept,NULL,NULL,Yes,Waitlist,McHenry,Fox River Grv,550,610,NULL
NULL,NULL,Yes,NULL,No,Black or African American,No,15345,Black or African American,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Matteson,450,480,450
NULL,NULL,Yes,NULL,Yes,White,Yes,18779,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Naperville,780,680,680
NULL,NULL,No,NULL,NULL,,NULL,10286,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,33841,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Madison,Collinsville,590,550,NULL
NULL,NULL,No,NULL,NULL,,NULL,6919,Black or African American,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,460,550,NULL
NULL,NULL,No,NULL,NULL,,NULL,33842,White,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,800,640,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,12221,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Elmhurst,650,630,590
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,18805,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Schaumburg,760,610,660
NULL,NULL,No,NULL,NULL,,NULL,15347,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Olympia Flds,390,380,NULL
NULL,NULL,No,NULL,NULL,,NULL,18810,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Round Lake,520,430,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,3988,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,McLean,Bloomington,720,640,620
NULL,NULL,No,NULL,NULL,,NULL,18829,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,LaSalle,Ottawa,450,470,NULL
NULL,NULL,No,NULL,NULL,,NULL,18833,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Glenwood,390,280,NULL
NULL,NULL,No,NULL,NULL,,NULL,18835,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Kane,Hampshire,630,610,560
NULL,NULL,No,NULL,NULL,,NULL,18855,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,600,490,520
NULL,NULL,No,NULL,NULL,,NULL,18859,Not Reported,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Barrington,550,590,NULL
NULL,NULL,No,NULL,NULL,White,NULL,43693,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,DuPage,Hinsdale,430,580,580
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,18863,Two or More Races,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,McHenry,Woodstock,670,660,NULL
NULL,NULL,Yes,3,No,White,No,14417,White,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,590,690,NULL
NULL,NULL,Yes,NULL,Yes,White,Yes,4000,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Park Forest,570,560,610
NULL,NULL,No,NULL,NULL,,NULL,33843,Black or African American,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Sauk Village,430,420,NULL
NULL,NULL,No,NULL,NULL,,NULL,18935,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Will,Lockport,400,460,430
NULL,NULL,No,NULL,NULL,"American Indian or Alaska Native, White",NULL,44152,Two or More Races,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Effingham,Watson,0,0,0
Yes,Accept,Yes,NULL,Yes,Asian,Yes,6107,Asian,No,Yes,Yes,Yes,2013,Accept,NULL,NULL,Yes,Waitlist,Kankakee,Bourbonnais,570,500,470
NULL,NULL,No,NULL,NULL,,NULL,18946,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,390,410,410
NULL,NULL,No,NULL,NULL,White,NULL,7272,White,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Plano,440,450,470
NULL,NULL,No,NULL,NULL,,NULL,18949,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,580,560,NULL
NULL,NULL,No,NULL,NULL,,NULL,15351,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Broadview,570,460,NULL
NULL,NULL,No,NULL,NULL,,NULL,524,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Lynwood,NULL,NULL,NULL
NULL,NULL,Yes,NULL,No,Hispanic or Latino,No,14896,Hispanic or Latino,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Oak Forest,540,540,500
NULL,NULL,No,NULL,NULL,,NULL,18980,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Streamwood,540,520,NULL
NULL,NULL,Yes,NULL,Yes,,Yes,15354,Black or African American,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Hts,490,460,NULL
NULL,NULL,Yes,4,No,Black or African American,No,33625,Black or African American,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,510,590,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15355,Hispanic or Latino,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Cook,Summit,420,450,420
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,15355,Hispanic or Latino,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Summit,500,520,540
NULL,NULL,Yes,NULL,No,White,No,2118,White,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer-8th,Coles,Mattoon,660,570,530
NULL,NULL,Yes,2,No,White,No,2117,White,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Coles,Mattoon,510,430,470
NULL,NULL,No,NULL,NULL,,NULL,19020,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,McHenry,Huntley,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,19020,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,McHenry,Huntley,NULL,NULL,NULL
Yes,Accept,Yes,NULL,Yes,,Yes,19019,Asian,No,Yes,Yes,Yes,2012,Accept,NULL,NULL,Yes,Waitlist,McHenry,Huntley,710,580,620
NULL,NULL,No,NULL,NULL,Asian,NULL,43694,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,McHenry,Algonquin,500,440,440
NULL,NULL,No,NULL,NULL,Black or African American,NULL,43695,Black or African American,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lake,Wauconda,490,540,540
NULL,NULL,No,NULL,NULL,,NULL,19028,Not Reported,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Downers Grove,660,550,540
NULL,NULL,No,NULL,NULL,,NULL,5278,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Lake,Waukegan,620,650,570
NULL,NULL,No,NULL,NULL,,NULL,19034,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Lake,Lake Zurich,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,"Black or African American, White",NULL,43696,Two or More Races,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Macon,Decatur,430,440,440
