IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,Yes,NULL,Yes,Asian,Yes,15833,Asian,No,Yes,Yes,Yes,2012,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,710,540,530
NULL,NULL,No,NULL,NULL,,NULL,33792,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,480,390,NULL
NULL,NULL,Yes,1,No,Asian,No,33791,Asian,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Kane,North Aurora,640,680,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, White",NULL,44082,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,Deferred,Will,Joliet,560,550,500
NULL,NULL,No,NULL,NULL,,NULL,15844,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Will,Plainfield,460,420,NULL
NULL,NULL,No,NULL,NULL,,NULL,3214,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Sangamon,Springfield,430,410,330
NULL,NULL,No,NULL,NULL,,NULL,12710,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Addison,570,540,NULL
NULL,NULL,No,NULL,NULL,,NULL,15878,Asian,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,630,530,NULL
NULL,NULL,No,NULL,NULL,,NULL,12210,Black or African American,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,12210,Black or African American,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,510,410,NULL
NULL,NULL,No,NULL,NULL,,NULL,15901,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Cook,Glenwood,410,360,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,44084,Asian,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kendall,Oswego,770,510,530
NULL,NULL,Yes,2,No,Hispanic or Latino,No,9949,Hispanic or Latino,Yes,Yes,Yes,Yes,2014,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,540,470,NULL
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44019,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago Hts,410,480,470
NULL,NULL,No,NULL,NULL,,NULL,6351,Black or African American,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,DuPage,Lemont,610,470,NULL
NULL,NULL,No,NULL,NULL,"Hispanic or Latino, Black or African American, White",NULL,44085,Hispanic or Latino,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Chicago,400,380,370
NULL,NULL,No,NULL,NULL,"Asian, White",NULL,14782,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Downers Grove,600,690,530
NULL,NULL,No,NULL,NULL,,NULL,9179,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Winnebago,Rockford,530,430,NULL
NULL,NULL,No,NULL,NULL,"American Indian or Alaska Native, White",NULL,43610,Two or More Races,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Boone,Belvidere,NULL,NULL,NULL
NULL,NULL,No,NULL,NULL,,NULL,15943,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,DuPage,Elmhurst,560,660,480
NULL,NULL,Yes,NULL,No,White,No,15945,White,Yes,Yes,Yes,Yes,2013,NULL,NULL,NULL,NULL,No Offer-8th,Lake,Buffalo Grove,700,450,480
NULL,NULL,No,NULL,NULL,,NULL,15962,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,Cook,Glenview,620,570,560
NULL,NULL,No,NULL,NULL,,NULL,15962,Asian,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Cook,Glenview,660,650,640
NULL,NULL,No,NULL,NULL,,NULL,33793,Not Reported,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Wheaton,660,490,NULL
